LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id,BeginP,EndP,SepPont,BeginCh,EndCh,Init,SepV,void,TypeInt,TypeFloat,TypeBool,TyperChar,BeginC,EndC,ConstInt,ConstFloat,ConstBool,ConstChar,ConstString,In,SepPV,Out,InsSIf,Return,OpAtr,OpLogAnd,OpLogOr,OpLogNot,OpArAd,OpArMult,OpArdiv,OpArMod,OpArExp,OpReD,OpReI,InsInWh,InsInfor,IntTo,$,S,INICIAL,LIST_FUNC,FUNC,MAIN_FUNC,PARAMITER_LIST,PARAMITER,TYPE_FUNC,TYPE,VECTOR_TYPE,CONST_TYPE,COMANDS_LIST,COMAND,RETURN,RETURN_TYPE,VAR_DECLARATION,DECLARATION_LIST,DECLARATION_TYPE,ATTRIBUTION,LIST_OPERATION_LG,OPERATION_RL,OPERATION_AR,ATRIBVALUE,OP_LG,OP_AR,OP_RE,FUNC_CALL,LI,LOOP
79,,,,,,,,,s102,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,r54,,r54,,,r54,,r54,,r54,r54,r54,r54,,r54,,,,,,r54,r54,r54,r54,r54,,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,s104,,,,,,,,,,,,,,,s53,s54,s55,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
82,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,r72,,,,,s106,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
84,,r51,,r51,,,r51,,r51,,r51,r51,r51,r51,,,,,,,,r51,r51,r51,r51,r51,,r51,r51,r51,,,,,,s112,s113,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,
85,,r53,,r53,,,r53,,r53,,r53,r53,r53,r53,,,,,,,,r53,r53,r53,r53,r53,,r53,r53,r53,s53,s54,s55,s56,s57,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
86,,s76,,,,,,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,114,63,64,,65,73,79,66,,,,,,,,69,,70
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,r27,,,,,r27,,,,r27,r27,r27,r27,,,,,,,,r27,,r27,r27,r27,,,,,,,,,,,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,117,84,85,38,,,,40,,
92,,,,,,,,,,,,,,,,,,,,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
94,,r41,,,,,r41,,,,r41,r41,r41,r41,,,,,,,,r41,,r41,r41,r41,,,,,,,,,,,,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,r45,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,r46,,,,,r46,,r46,,r46,r46,r46,r46,s98,,,,,,,r46,r46,r46,r46,r46,s99,,,,,,,,,,,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,r42,,,,,r42,,,,r42,r42,r42,r42,,,,,,,,r42,,r42,r42,r42,,,,,,,,,,,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,119,38,,,,40,,
99,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,120,84,85,38,,,,40,,
100,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,121,84,85,38,,,,40,,
101,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,
102,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,79,95,,,,,,,,,,
103,,r44,,,,,r44,,,,r44,r44,r44,r44,,,,,,,,r44,,r44,r44,r44,,,,,,,,,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r57,,r57,,,r57,,r57,,r57,r57,r57,r57,,r57,,,,,,r57,r57,r57,r57,r57,,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,83,84,85,38,,,,40,125,
107,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,126,85,38,,,,40,,
108,,r60,,,,,,,,,,,,,,,r60,r60,r60,r60,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,r61,,,,,,,,,,,,,,,r61,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,r62,,,,,,,,,,,,,,,r62,r62,r62,r62,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,127,38,,,,40,,
112,,r68,,,,,,,,,,,,,,,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,r69,,,,,,,,,,,,,,,r69,r69,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,s76,,,,,s128,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,,88,64,,65,73,79,66,,,,,,,,69,,70
115,,,,,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,s131,,,,,s130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
